City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
267,Chunskiy,RU,56.0815,99.6342,37.06,65,100,12.88,overcast clouds
268,Villiers,ZA,-27.0303,28.6006,59.2,92,100,10.85,moderate rain
269,Nikolskoye,RU,59.7035,30.7861,37.87,98,100,8.79,moderate rain
270,Rochester,US,43.1548,-77.6156,51.08,76,1,1.01,clear sky
271,Saint-Augustin,CA,51.226,-58.6502,40.37,78,100,3.67,overcast clouds
272,Grand Gaube,MU,-20.0064,57.6608,75.6,76,25,5.99,scattered clouds
273,Hickory,US,35.7332,-81.3412,51.48,62,0,4.59,clear sky
274,Mandalgovi,MN,45.7625,106.2708,19.63,62,0,6.98,clear sky
275,Malanje,AO,-9.5402,16.341,63.54,98,100,3.6,overcast clouds
276,Lompoc,US,34.6391,-120.4579,63.63,75,40,11.5,scattered clouds
277,Vardo,NO,70.3705,31.1107,31.24,61,98,17.4,overcast clouds
278,Los Llanos De Aridane,ES,28.6585,-17.9182,63.12,64,75,11.99,broken clouds
279,Nome,US,64.5011,-165.4064,19.17,86,100,10.09,light snow
280,Mobaye,CF,4.319,21.1786,70.25,94,100,2.3,overcast clouds
281,Pitimbu,BR,-7.4706,-34.8086,79.39,80,55,10.45,broken clouds
282,Batemans Bay,AU,-35.7167,150.1833,82.2,85,91,7.02,overcast clouds
283,San Policarpo,PH,12.1791,125.5072,83.77,82,68,10.31,broken clouds
284,Udachnyy,RU,66.4167,112.4,17.64,88,86,11.54,overcast clouds
285,Moron,AR,-34.6534,-58.6198,66.96,74,1,1.99,clear sky
286,Dolzhanskaya,RU,46.6311,37.8039,48.9,72,100,7.81,overcast clouds
287,Fairlie,GB,55.756,-4.8556,43.02,80,79,4.36,broken clouds
288,Isla Mujeres,MX,21.2311,-86.731,66.25,63,0,11.03,clear sky
289,Souillac,MU,-20.5167,57.5167,75.58,83,40,5.75,scattered clouds
290,Salinas,US,36.6777,-121.6555,57.99,74,28,0.54,scattered clouds
291,Pocone,BR,-16.2567,-56.6228,75.11,72,27,3.56,scattered clouds
292,Arraial Do Cabo,BR,-22.9661,-42.0278,70.48,73,70,5.7,broken clouds
293,Kavieng,PG,-2.5744,150.7967,84.79,70,9,16.8,light rain
294,Sur,OM,22.5667,59.5289,73.98,61,0,1.32,clear sky
295,Jiblah,YE,13.9216,44.1467,57.97,52,2,3.89,clear sky
296,Mandurah,AU,-32.55,115.7,74.16,53,25,11.36,scattered clouds
297,Atikokan,CA,48.7555,-91.6216,48.2,85,100,4.47,overcast clouds
298,Guerrero Negro,MX,27.9769,-114.0611,65.37,83,100,9.35,overcast clouds
299,Iqaluit,CA,63.7506,-68.5145,9.7,78,0,15.99,clear sky
300,Mollendo,PE,-17.0231,-72.0147,63.55,84,68,6.64,broken clouds
301,Rovaniemi,FI,66.5,25.7167,17.01,86,0,10.36,clear sky
302,Kaeo,NZ,-35.1,173.7833,67.08,72,39,4.94,scattered clouds
303,Shenjiamen,CN,29.9576,122.298,47.7,66,12,33.44,few clouds
304,Sergeyevka,KZ,53.88,67.4158,33.49,49,86,18.05,overcast clouds
305,Lasa,IT,46.6166,10.7002,34.02,54,74,3.69,broken clouds
306,Torbay,CA,47.6666,-52.7314,47.26,86,77,3.0,broken clouds
307,Saint-Georges,GD,12.0564,-61.7485,80.28,78,20,11.5,few clouds
308,Naze,JP,28.3667,129.4833,71.98,63,100,4.9,overcast clouds
309,Saint-Pierre,RE,-21.3393,55.4781,73.04,73,0,4.61,clear sky
310,Sola,VU,-13.8833,167.55,81.55,73,29,9.78,scattered clouds
311,Mae Hong Son,TH,19.3003,97.9685,81.68,68,84,1.34,broken clouds
312,Avera,US,33.194,-82.5271,51.71,49,0,6.53,clear sky
313,Airai,TL,-8.9266,125.4092,74.37,66,90,1.14,overcast clouds
314,Andros Town,BS,24.7,-77.7667,73.36,68,100,15.14,overcast clouds
315,Araceli,PH,10.5529,119.9913,83.66,82,59,16.46,broken clouds
316,Zhezkazgan,KZ,47.8043,67.7144,27.93,37,0,5.75,clear sky
317,Sidareja,ID,-7.4846,108.7923,81.97,81,100,2.19,heavy intensity rain
318,Churapcha,RU,62.0025,132.4325,5.34,93,100,7.29,overcast clouds
319,Sungaipenuh,ID,-2.0833,101.3833,77.27,63,97,1.99,overcast clouds
320,Komsomolskiy,UZ,40.4272,71.7189,36.32,69,75,4.61,haze
321,Garowe,SO,8.4054,48.4845,67.44,87,11,8.12,few clouds
322,Orapa,BW,-21.2833,25.3667,78.26,41,72,6.44,broken clouds
323,Faya,SA,18.3851,42.4509,50.11,41,0,1.25,clear sky
324,Bonavista,CA,48.6499,-53.1147,48.11,81,96,11.95,overcast clouds
325,Jalu,LY,29.0331,21.5482,65.44,55,0,5.48,clear sky
326,Villarrica,PY,-25.75,-56.4333,70.02,72,13,4.29,few clouds
327,Kelvington,CA,52.1667,-103.5343,37.8,46,0,11.43,clear sky
328,Te Anau,NZ,-45.4167,167.7167,67.5,50,74,4.83,light rain
329,Ewa Beach,US,21.3156,-158.0072,84.15,57,20,11.01,few clouds
330,Tsumeb,NA,-19.2333,17.7167,72.95,48,76,2.28,broken clouds
331,Atar,MR,20.5169,-13.0499,72.88,28,56,6.08,broken clouds
332,Murwara,IN,23.85,80.4,65.03,54,47,0.6,scattered clouds
333,Zimmi,SL,7.3153,-11.3061,73.63,97,91,1.88,overcast clouds
334,Kuching,MY,1.55,110.3333,82.62,78,20,2.3,few clouds
335,Isangel,VU,-19.55,169.2667,82.51,65,40,5.75,scattered clouds
336,Torrevieja,ES,37.9787,-0.6822,55.35,53,14,5.01,few clouds
337,Rock Springs,US,41.5875,-109.2029,43.05,65,48,5.99,scattered clouds
338,Marystown,CA,47.1666,-55.1483,47.86,100,21,1.01,few clouds
339,Boundiali,CI,9.5217,-6.4869,75.49,68,9,3.62,clear sky
340,Biak,ID,-0.9131,122.8766,84.29,70,85,1.72,overcast clouds
341,Koulikoro,ML,14.0,-7.75,78.06,35,0,3.53,clear sky
342,Alekseyevka,RU,50.6309,38.6903,44.28,76,100,8.99,light rain
343,Muli,MV,2.9167,73.5667,82.83,72,100,16.06,overcast clouds
344,Manokwari,ID,-0.8667,134.0833,85.05,67,49,11.41,scattered clouds
